Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Acacia sciophanes,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia spilleriana,Spiller's Wattle,Endangered,Acacia spilleriana,24-Dec-09,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Acacia splendens,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Acacia subflexuosa subsp. capillata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Acacia terminalis subsp. terminalis MS,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Acacia undoolyana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia unguicula,a shrub,Critically Endangered,Acacia unguicula,18-Aug-06,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia vassalii,Vassal's Wattle,Endangered,Acacia vassalii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Acacia volubilis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Acacia whibleyana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia wilsonii,Wilson's Wattle,Endangered,Acacia wilsonii,11-May-18,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia woodmaniorum,Woodman's Wattle,Endangered,Acacia woodmaniorum,4-Jul-19,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Acanthiza iredalei rosinae,8-Jul-15,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Acanthiza
Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Acanthiza pusilla archibaldi,16-Jul-00,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Acanthocladium dockeri,27-Nov-06,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Acanthocladium
