,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
135,Andersonia axilliflora,Giant Andersonia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
136,Andersonia gracilis,Slender Andersonia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
137,Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
138,Androcalva adenothalia,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,WA,,,,,,,,,,,,,,,,
139,Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,WA,,,,,,,,,,,,,,,,
140,Androcalva perlaria,Pearl-like Androcalva,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,WA,,,,,,,,,,,,,,,,
141,Androcalva procumbens,,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,NSW, QLD,,,,,,,,,,,,,,,
142,Androcalva rosea,Sandy Hollow Commersonia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,NSW,,,,,,,,,,,,,,,,
143,Angophora inopina,Charmhaven Apple,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
144,Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
