,Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
1423,Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Insecta,Lucanidae,Hoplogonus,vanderschoori
1424,Idiosoma nigrum,"ShieldNabacked Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Arachnida,Idiopidae,Idiosoma,nigrum
1425,Neopasiphae simplicior,A native bee,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Insecta,Colletidae,Neopasiphae,simplicior
1426,Bettongia penicillata ogilbyi,Woylie,Endangered,Na,Yes,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Potoroidae,Bettongia,penicillata
1427,Petrogale lateralis hacketti,Recherche RockNawallaby,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Mammalia,Macropodidae,Petrogale,lateralis
1428,Nyctophilus howensis,"Lord Howe LongNaeared Bat, Lord Howe Island Bat",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Vespertilionidae,Nyctophilus,howensis
1429,Saccolaimus saccolaimus nudicluniatus,"BareNarumped SheathNatailed Bat, BareNarumped Sheathtail Bat",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Mammalia,Emballonuridae,Saccolaimus,saccolaimus
1430,Pterostylis pratensis,Liawenee Greenhood,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,pratensis
1431,Pterodroma heraldica,Herald Petrel,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Procellariidae,Pterodroma,heraldica
1432,Leucocarbo atriceps nivalis,"Imperial Shag (Heard Island), Heard Shag",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Phalacrocoracidae,Leucocarbo,atriceps
1433,Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Phalacrocoracidae,Leucocarbo,atriceps
1434,Chalcophaps indica natalis,"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Columbidae,Chalcophaps,indica
1435,Probosciger aterrimus macgillivrayi,Palm Cockatoo (Australian),Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Cacatuidae,Probosciger,aterrimus
1436,Calyptorhynchus banksii naso,"Forest RedNatailed BlackNaCockatoo, Karrak",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Cacatuidae,Calyptorhynchus,banksii
1437,Platycercus caledonicus brownii,Green Rosella (King Island),Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Psittacidae,Platycercus,caledonicus
1438,Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Cyanoramphus,cookii
1439,Tyto novaehollandiae castanops (Tasmanian population),Masked Owl (Tasmanian),Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Tytonidae,Tyto,novaehollandiae
1440,Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Na,Yes,Na,Yes,Yes,Na,Na,Na,Animalia,Aves,Maluridae,Amytornis,barbatus
1441,Acanthiza iredalei rosinae,SlenderNabilled Thornbill (Gulf St Vincent),Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Pardalotidae,Acanthiza,iredalei
1442,Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Aves,Meliphagidae,Epthianura,crocea
1443,Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Meliphagidae,Epthianura,crocea
1444,Melanodryas cucullata melvillensis,"Tiwi Islands Hooded Robin, Hooded Robin (Tiwi Islands)",Critically Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Aves,Petroicidae,Melanodryas,cucullata
1445,Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted QuailNathrush, Spotted QuailNathrush (Mt Lofty Ranges)",Critically Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Psophodidae,Cinclosoma,punctatum
1446,Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Aves,Muscicapidae,Rhipidura,fuliginosa
1447,Strepera fuliginosa colei,Black Currawong (King Island),Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Artamidae,Strepera,fuliginosa
1448,Zoothera lunulata halmaturina,Bassian Thrush (South Australian),Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Muscicapidae,Zoothera,lunulata
1449,Turdus poliocephalus erythropleurus,Christmas Island Thrush,Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Muscicapidae,Turdus,poliocephalus
1450,Turdus poliocephalus vinitinctus,"Lord Howe Thrush, VinousNatinted Thrush",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Aves,Muscicapidae,Turdus,poliocephalus
1451,Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, SmallNaleaved Davidson's Plum",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Cunoniaceae,Davidsonia,johnsonii
1452,Daphnandra johnsonii,Illawarra Socketwood,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Monimiaceae,Daphnandra,johnsonii
1453,Elseya lavarackorum,Gulf Snapping Turtle,Endangered,Na,Na,Yes,Yes,Na,Na,Na,Na,Animalia,Reptilia,Chelidae,Elseya,lavarackorum
1455,Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Persoonia,pauciflora
1456,Vanvoorstia bennettiana,Bennett's Seaweed,Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Rhodophyceae,Delesseriaceae,Vanvoorstia,bennettiana
1457,Davidsonia jerseyana,Davidson's Plum,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Cunoniaceae,Davidsonia,jerseyana
1458,Engaeus martigener,Furneaux Burrowing Crayfish,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Malacostraca,Parastacidae,Engaeus,martigener
1459,Rutidosis leptorhynchoides,Button Wrinklewort,Endangered,Yes,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Asteraceae,Rutidosis,leptorhynchoides
1460,Jacksonia quairading,"Quairading Jacksonia, Quairading Stinkwood",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Jacksonia,quairading
1461,Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Epacridaceae,Andersonia,pinaster
1462,Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Gastropoda,Camaenidae,Adclarkia,dawsonensis
1463,Neoceratodus forsteri,"Australian Lungfish, Queensland Lungfish",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Sarcopterygii,Ceratodontidae,Neoceratodus,forsteri
1464,Selaginella andrewsii,Tallebudgera spikemoss,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Lycopodopiatae,Selaginellaceae,Selaginella,andrewsii
1465,Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (southNaeastern)",Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Mammalia,Peramelidae,Isoodon,obesulus
1466,Stonesiella selaginoides,Clubmoss BushNapea,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Fabaceae,Stonesiella,selaginoides
1467,Conospermum hookeri,Variable SmokeNabush,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Proteaceae,Conospermum,hookeri
1469,Philotheca freyciana,Freycinet Waxflower,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Rutaceae,Philotheca,freyciana
1471,Genoplesium vernale,East Lynne MidgeNaorchid,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Genoplesium,vernale
1472,Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Sterculiaceae,Lasiopetalum,sp. Proston (J.A.Baker 17)
1473,Eucalyptus gunnii subsp. divaricata,Miena Cider Gum,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,gunnii
1474,Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Amaranthaceae,Achyranthes,margaretarum
1475,Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish",Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Chondrichthyes,Pristidae,Pristis,zijsron
1476,Centrophorus harrissoni,"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation Dependent,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Chondrichthyes,Squalidae,Centrophorus,harrissoni
1477,Pristis clavata,"Dwarf Sawfish, Queensland Sawfish",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Chondrichthyes,Pristidae,Pristis,clavata
1478,Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Na,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Actinopterygii,Serranidae,Epinephelus,daemelii
1479,Galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark",Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Chondrichthyes,Triakidae,Galeorhinus,galeus
1480,Hoplostethus atlanticus,"Orange Roughy, DeepNasea Perch, Red Roughy",Conservation Dependent,Na,Yes,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Trachichthyidae,Hoplostethus,atlanticus
1481,Prostanthera cryptandroides subsp. cryptandroides,Wollemi MintNabush,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,cryptandroides
1482,Muehlenbeckia australis,"Shrubby Creeper, Pohuehue",Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Polygonaceae,Muehlenbeckia,australis
1483,Baloskion longipes,Dense CordNarush,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Restionaceae,Baloskion,longipes
1485,Caladenia lodgeana,Lodge's SpiderNaorchid,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,lodgeana
1486,Caladenia procera,Carbunup King Spider Orchid,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,procera
1487,Caladenia barbarella,"Small Dragon Orchid, Common Dragon Orchid",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,barbarella
1488,Caladenia drakeoides,Hinged Dragon Orchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,drakeoides
1489,Caladenia luteola,Lemon Spider Orchid,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,luteola
1490,Caladenia williamsiae,Williams Spider Orchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,williamsiae
1491,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically Endangered,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Chondrichthyes,Carcharhinidae,Carcharias,taurus
1492,Carcharias taurus (west coast population),Grey Nurse Shark (west coast population),Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Chondrichthyes,Carcharhinidae,Carcharias,taurus
1493,Galium antarcticum,Subantarctic Bedstraw,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Rubiaceae,Galium,antarcticum
1494,Pneumatopteris truncata,fern,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Polypodiatae,Thelypteridaceae,Pneumatopteris,truncata
1495,Seriolella brama,Blue Warehou,Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Actinopterygii,Centrolophidae,Seriolella,brama
1496,Thunnus maccoyii,Southern Bluefin Tuna,Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Actinopterygii,Scombridae,Thunnus,maccoyii
1497,Dasyurus maculatus maculatus (Tasmanian population),"SpottedNatail Quoll, SpotNatailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Mammalia,Dasyuridae,Dasyurus,maculatus
1498,Dasyurus maculatus maculatus (SE mainland population),"SpotNatailed Quoll, SpottedNatail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Dasyuridae,Dasyurus,maculatus
1500,Pterostylis bryophila,Hindmarsh Valley Greenhood,Critically Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,bryophila
1502,Caladenia actensis,Canberra Spider Orchid,Critically Endangered,Yes,Na,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Caladenia,actensis
1503,Bidyanus bidyanus,"Silver Perch, Bidyan",Critically Endangered,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Actinopterygii,Terapontidae,Bidyanus,bidyanus
1506,Lachnagrostis adamsonii,"Adamson's BlownNagrass, Adamson's Blowngrass",Endangered,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Liliopsida,Poaceae,Lachnagrostis,adamsonii
1507,Leiocarpa gatesii,Wrinkled Buttons,Vulnerable,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Asteraceae,Leiocarpa,gatesii
1508,Caladenia ornata,Ornate Pink Fingers,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Caladenia,ornata
1509,Xerochrysum palustre,"Swamp Everlasting, Swamp Paper Daisy",Vulnerable,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Plantae,Magnoliopsida,Asteraceae,Xerochrysum,palustre
1510,Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation Dependent,Na,Yes,Na,Yes,Na,Yes,Na,Na,Animalia,Actinopterygii,Gempylidae,Rexea,solandri (eastern Australian population)
1511,Eidothea hardeniana,Nightcap Oak,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Eidothea,hardeniana
1512,Thelymitra jonesii,SkyNablue SunNaorchid,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Thelymitra,jonesii
1513,Thynninorchis nothofagicola,Myrtle Elbow Orchid,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Thynninorchis,nothofagicola
1514,Corunastylis brachystachya,ShortNaspiked MidgeNaorchid,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Corunastylis,brachystachya
1515,Corunastylis firthii,Firth's MidgeNaorchid,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Corunastylis,firthii
1516,Rostratula australis,Australian Painted Snipe,Endangered,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Animalia,Aves,Rostratulidae,Rostratula,australis
1517,Galaxias auratus,Golden Galaxias,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Galaxiidae,Galaxias,auratus
1518,Paragalaxias mesotes,Arthurs Paragalaxias,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Galaxiidae,Paragalaxias,mesotes
1519,Paragalaxias eleotroides,Great Lake Paragalaxias,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Galaxiidae,Paragalaxias,eleotroides
1520,Paragalaxias dissimilis,Shannon Paragalaxias,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Galaxiidae,Paragalaxias,dissimilis
1521,Craspedia preminghana,Preminghana Billybutton,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Asteraceae,Craspedia,preminghana
1522,Pomaderris reperta,Denman Pomaderris,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rhamnaceae,Pomaderris,reperta
1523,Ozothamnus reflexifolius,Reflexed Everlasting,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Asteraceae,Ozothamnus,reflexifolius
1524,Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, HeathNasand Skipper",Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Insecta,Hesperiidae,Antipodia,chaostola
1525,Ogyris subterrestris petrina,Arid Bronze Azure,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Insecta,Lycaenidae,Ogyris,subterrestris
1526,Oreisplanus munionga larana,"Marrawah Skipper, Alpine Sedge Skipper, Alpine Skipper",Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Insecta,Hesperiidae,Oreisplanus,munionga
1527,Lachnagrostis limitanea,"Spalding Blown Grass, Spalding Blowngrass",Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Liliopsida,Poaceae,Lachnagrostis,limitanea
1528,Bertya calycina,a shrub,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Euphorbiaceae,Bertya,calycina
1529,Bertya ernestiana,a shrub,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Euphorbiaceae,Bertya,ernestiana
1530,Bertya granitica,a shrub,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Euphorbiaceae,Bertya,granitica
1531,Bertya tasmanica subsp. tasmanica,Tasmanian Bertya,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Euphorbiaceae,Bertya,tasmanica
1532,Gastrolobium modestum,BroadNaleaved Gastrolobium,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Gastrolobium,modestum
1533,Gastrolobium diabolophyllum,Bodallin Poison,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Gastrolobium,diabolophyllum
1534,Gastrolobium luteifolium,YellowNaleafed Gastrolobium,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Gastrolobium,luteifolium
1536,Gastrolobium papilio,ButterflyNaleaved Gastrolobium,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Gastrolobium,papilio
1538,Lepidium ginninderrense,Ginninderra Peppercress,Vulnerable,Yes,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Brassicaceae,Lepidium,ginninderrense
1539,Cepobaculum carronii,an orchid,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Cepobaculum,carronii
1541,Gossia gonoclada,AngleNastemmed Myrtle,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Gossia,gonoclada
1542,Gossia fragrantissima,"Sweet Myrtle, SmallNaleaved Myrtle",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Gossia,fragrantissima
1543,Vappodes lithocola,"Dwarf Butterfly Orchid, Cooktown Orchid",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Vappodes,lithocola
1544,Vappodes phalaenopsis,Cooktown Orchid,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Vappodes,phalaenopsis
1545,Prasophyllum crebriflorum,Crowded LeekNaOrchid,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Prasophyllum,crebriflorum
1546,Prasophyllum incorrectum,Golfers LeekNaorchid,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Prasophyllum,incorrectum
1547,Boronia hippopala,Velvet Boronia,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Rutaceae,Boronia,hippopala
1548,Boronia hemichiton,Mt Arthur Boronia,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Rutaceae,Boronia,hemichiton
1549,Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Malacostraca,Parastacidae,Cherax,tenuimanus
1550,Engaeus granulatus,Central North Burrowing Crayfish,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Malacostraca,Parastacidae,Engaeus,granulatus
1551,Corunastylis ectopa,"Brindabella MidgeNaorchid, Ectopic MidgeNaorchid",Critically Endangered,Yes,Na,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Corunastylis,ectopa
1552,Pultenaea elusa,Elusive BushNapea,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Pultenaea,elusa
1553,Cophixalus aenigma,Tapping NurseryNafrog,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,aenigma
1554,Mesodontrachia fitzroyana,Fitzroy Land Snail,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Gastropoda,Camaenidae,Mesodontrachia,fitzroyana
1555,Sinumelon bednalli,Bednall's Land Snail,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Gastropoda,Camaenidae,Sinumelon,bednalli
1556,Semotrachia euzyga,a land snail,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Gastropoda,Camaenidae,Semotrachia,euzyga
1557,Ordtrachia septentrionalis,Rosewood Keeled Snail,Critically Endangered,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Gastropoda,Camaenidae,Ordtrachia,septentrionalis
1558,Typhonium mirabile,a herb,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Plantae,Liliopsida,Araceae,Typhonium,mirabile
1559,Calamanthus pyrrhopygius parkeri,ChestnutNarumped Heathwren (Mt Lofty Ranges),Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Acanthizidae,Calamanthus,pyrrhopygius
1560,Mirafra javanica melvillensis,Horsfield's Bushlark (Tiwi Islands),Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Aves,Alaudidae,Mirafra,javanica
1561,Psophodes leucogaster leucogaster,Mallee Whipbird,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Psophodidae,Psophodes,leucogaster
1562,Mystivagor mastersi,Masters' Charopid Land Snail,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Charopidae,Mystivagor,mastersi
1563,Pseudocharopa whiteleggei,Whitelegge's Land Snail,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Charopidae,Pseudocharopa,whiteleggei
1564,Advena campbellii,Campbell's Helicarionid Land Snail,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Helicarionidae,Advena,campbellii
1565,Mathewsoconcha phillipii,Phillip Island Helicarionid Land Snail,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Helicarionidae,Mathewsoconcha,phillipii
1566,Quintalia stoddartii,Stoddart's Helicarionid Land Snail,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Helicarionidae,Quintalia,stoddartii
1567,Brachyscias verecundus,Ironstone Brachyscias,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Apiaceae,Brachyscias,verecundus
1568,Stachystemon nematophorus,ThreeNaflowered Stachystemon,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Euphorbiaceae,Stachystemon,nematophorus
1569,Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,splendens
1570,Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,Na,Na,Na,Na,Yes,Na,Yes,Na,Animalia,Malacostraca,Parastacidae,Euastacus,bispinosus
1571,Prasophyllum taphanyx,Graveside LeekNaorchid,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Liliopsida,Orchidaceae,Prasophyllum,taphanyx
1572,Prasophyllum murfetii,Fleurieu Leek Orchid,Critically Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Prasophyllum,murfetii
1574,Toechima sp. East Alligator (J.RussellNaSmith 8418),a tree,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Sapindaceae,Toechima,sp. East Alligator (J.RussellNaSmith 8418)
1575,Cassinia tegulata,Avenue Cassinia,Critically Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Cassinia,tegulata
1576,Elseya albagula,"Southern Snapping Turtle, WhiteNathroated Snapping Turtle",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Chelidae,Elseya,albagula
1577,Hibbertia basaltica,Basalt GuineaNaflower,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Plantae,Magnoliopsida,Dilleniaceae,Hibbertia,basaltica
