Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Dendrobium nindii,an orchid,Endangered,Present,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Denhamia parvifolia,Small-leaved Denhamia,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,
Denisonia maculata,Ornamental Snake,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Present,,"ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,
Desmodium acanthocladum,Thorny Pea,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Deyeuxia appressa,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Deyeuxia lawrencei,,Extinct,Extinct,,TAS,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Deyeuxia pungens,Narrow-leaf Bent-grass,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Dianella amoena,Matted Flax-lily,Endangered,Present,,"TAS, VIC",Plantae,Magnoliophyta,Liliopsida,Liliales,Phormiaceae,
Dichanthium queenslandicum,King Blue-grass,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Dichanthium setosum,bluegrass,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Didymoglossum exiguum,,Extinct,Extinct,,QLD,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae,
Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Present,,"OCE, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea antipodensis,Antipodean Albatross,Vulnerable,Present,,"NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea antipodensis gibsoni,Gibson's Albatross,Vulnerable,Present,,"HI, NI, NSW, OCE, QLD, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea dabbenena,Tristan Albatross,Endangered,Present,,"OCE, QLD, SA, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea epomophora,Southern Royal Albatross,Vulnerable,Present,,"ANT, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea exulans,Wandering Albatross,Vulnerable,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea sanfordi,Northern Royal Albatross,Endangered,Present,,"ANT, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diospyros mabacea,"Red-fruited Ebony, Silky Persimmon, Ebony",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ebenales,Ebenaceae,
Diplazium cordifolium,,Vulnerable,Endemic,,QLD,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Athyriaceae,
Diplazium pallidum,,Endangered,Endemic,,QLD,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Athyriaceae,
Diploglottis campbellii,Small-leaved Tamarind,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Diplolaena andrewsii,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Dipodium campanulatum,Bell Flower Hyacinth Orchid,Endangered,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dipodium pictum,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dischidia litoralis,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,
Diuris aequalis,Buttercup Doubletail,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris basaltica,"Small Golden Moths Orchid, Early Golden Moths",Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris bracteata,,Extinct,Extinct,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris drummondii,Tall Donkey Orchid,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris eborensis,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris fragrantissima,"Sunshine Diuris, Fragrant Doubletail, White Diuris",Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris lanceolata,Snake Orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris micrantha,Dwarf Bee-orchid,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
