Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Kingdom,Class,Family,Genus,Species
Commersonia erythrogyna,Trigwell's Rulingia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86397,Plantae,Magnoliopsida,Malvaceae,Commersonia,erythrogyna
Limosa lapponica menzbieri,"Northern Siberian BarNatailed Godwit, BarNatailed Godwit (menzbieri)",Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86432,Animalia,Aves,Scolopacidae,Limosa,lapponica
Phlegmariurus carinatus,Keeled TasselNafern,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86549,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,carinatus
Phlegmariurus dalhousieanus,BlueTasselNafern,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86550,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,dalhousieanus
Phlegmariurus filiformis,Rat's Tail TasselNafern,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86551,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,filiformis
Phlegmariurus lockyeri,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86552,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,lockyeri
Phlegmariurus marsupiiformis,Water TasselNafern,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86553,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,marsupiiformis
Phlegmariurus tetrastichoides,Square Tassel Fern,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86555,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,tetrastichoides
Phlegmariurus squarrosus,"Rock TasselNafern, Water TasselNafern",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86556,Plantae,Lycopodopiatae,Lycopodiaceae,Phlegmariurus,squarrosus
Crocidura trichura,Christmas Island Shrew,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,86568,Animalia,Mammalia,Soricidae,Crocidura,trichura
Helicteres macrothrix,Na,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86586,Plantae,Magnoliopsida,Malvaceae,Helicteres,macrothrix
