,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
122,Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Present,"NSW, SA, TAS, VIC",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
123,Amphibromus whitei,,Extinct,Extinct,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
124,Amyema plicatula,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae
125,Amyema plicatula,,Endangered,Present,QLD,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae
126,Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Present,"NSW, QLD, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae
127,Amytornis dorotheae,Carpentarian Grasswren,Endangered,Present,"NT, QLD",Animalia,Chordata,Aves,Passeriformes,Maluridae
128,Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Present,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae
129,Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Present,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae
130,Amytornis modestus,Thick-billed Grasswren,Vulnerable,Present,"NSW, NT, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae
131,Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Present,NSW,Animalia,Chordata,Aves,Passeriformes,Maluridae
132,Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Endemic,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae
133,Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Present,NT,Animalia,Chordata,Aves,Passeriformes,Maluridae
134,Andersonia annelsii,,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae
135,Andersonia axilliflora,Giant Andersonia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
136,Andersonia gracilis,Slender Andersonia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
137,Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
138,Androcalva adenothalia,,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
139,Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
140,Androcalva perlaria,Pearl-like Androcalva,Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
