,Unnamed: 0,Scientific_Name,Common_Name,Threatened_Status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
775,916,Paralucia spinifera,"Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, BathurstNaLithgow Copper, Purple Copper",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Insecta,Lycaenidae,Paralucia,spinifera
784,926,Genoplesium plumosum,"Plumed MidgeNaorchid, Tallong Midge Orchid",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Genoplesium,plumosum
795,937,Pherosphaera fitzgeraldii,Dwarf Mountain Pine,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Pinatae,Podocarpaceae,Pherosphaera,fitzgeraldii
796,938,Polystichum moorei,Rock Shield Fern,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Polypodiatae,Dryopteridaceae,Polystichum,moorei
809,956,Endiandra floydii,Floyd's Walnut,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Lauraceae,Endiandra,floydii
821,968,Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Diuris,flavescens
823,970,Diuris praecox,Newcastle Doubletail,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Diuris,praecox
824,972,Genoplesium rhyoliticum,Pambula MidgeNaorchid,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Genoplesium,rhyoliticum
826,974,Prasophyllum petilum,Tarengo Leek Orchid,Endangered,Yes,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Prasophyllum,petilum
834,990,Calotis moorei,Moore's BurrNadaisy,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Calotis,moorei
840,996,Caladenia xanthochila,YellowNalip SpiderNaorchid,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Caladenia,xanthochila
849,1012,Plectranthus nitidus,"Nightcap Plectranthus, Silver Plectranthus",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Plectranthus,nitidus
856,1022,Budawangia gnidioides,Budawangs CliffNaheath,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Epacridaceae,Budawangia,gnidioides
860,1029,Angophora robur,Sandstone RoughNabarked Apple,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Angophora,robur
861,1031,Eucalyptus parramattensis subsp. decadens,"Earp's Gum, Earp's Dirty Gum",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,parramattensis
862,1032,Eucalyptus parvula,SmallNaleaved Gum,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,parvula
863,1033,Eucalyptus aquatica,"Mountain Swamp Gum, BroadNaleaved Sallee, BroadNaleaved Sally",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,aquatica
865,1035,Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,caleyi
866,1037,Ozothamnus vagans,Wollumbin Dogwood,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Ozothamnus,vagans
867,1038,Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,robertsonii
868,1039,Eucalyptus langleyi,Albatross Mallee,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,langleyi
869,1041,Persoonia bargoensis,Bargo Geebung,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Persoonia,bargoensis
870,1043,Acacia courtii,Northern Brother Wattle,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Acacia,courtii
871,1044,Boronia umbellata,Orara Boronia,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Boronia,umbellata
872,1045,Almaleea cambagei,Torrington Pea,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Almaleea,cambagei
876,1050,Swainsona pyrophila,Yellow SwainsonNapea,Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Plantae,Magnoliopsida,Fabaceae,Swainsona,pyrophila
877,1052,Grevillea wilkinsonii,Tumut Grevillea,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Grevillea,wilkinsonii
882,1058,Callistemon forresterae,Forrester's Bottlebrush,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Myrtaceae,Callistemon,forresterae
901,1079,Zieria citriodora,LemonNascented Zieria,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,citriodora
902,1080,Zieria covenyi,Coveny's Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,covenyi
903,1081,Zieria formosa,Shapely Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,formosa
904,1082,Zieria ingramii,Ingram's Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,ingramii
905,1083,Zieria parrisiae,Parris's Zieria,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,parrisiae
906,1084,Zieria tuberculata,Warty Zieria,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,tuberculata
910,1088,Zieria buxijugum,Box Range Zieria,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,buxijugum
919,1100,Zieria baeuerlenii,"Bomaderry Zieria, Bomaderry Creek Zieria",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,baeuerlenii
920,1101,Zieria prostrata,Headland Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,prostrata
924,1105,Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Actinopterygii,Atherinidae,Craterocephalus,fluviatilis
926,1107,Crinia sloanei,Sloane's Froglet,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Myobatrachidae,Crinia,sloanei
927,1108,Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Eulamprus,leuraensis
928,1109,Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Gekkonidae,Christinus,guentheri
929,1110,Furina dunmalli,Dunmall's Snake,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Elapidae,Furina,dunmalli
930,1111,Natator depressus,Flatback Turtle,Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Reptilia,Cheloniidae,Natator,depressus
935,1116,Pezoporus occidentalis,Night Parrot,Endangered,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Aves,Psittacidae,Pezoporus,occidentalis
937,1118,Stipiturus mallee,Mallee EmuNawren,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Maluridae,Stipiturus,mallee
940,1121,Polytelis anthopeplus monarchoides,Regent Parrot (eastern),Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Psittacidae,Polytelis,anthopeplus
941,1122,Coeranoscincus reticulatus,ThreeNatoed SnakeNatooth Skink,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Coeranoscincus,reticulatus
942,1123,Cyclopsitta diophthalma coxeni,Coxen's FigNaParrot,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Cyclopsitta,diophthalma
952,1135,Eucalyptus alligatrix subsp. miscella,a stringybark,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,alligatrix
957,1140,Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,amsterdamensis
964,1147,Fregetta grallaria grallaria,"WhiteNabellied StormNaPetrel (Tasman Sea), WhiteNabellied StormNaPetrel (Australasian)",Vulnerable,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Aves,Hydrobatidae,Fregetta,grallaria
965,1148,Geophaps scripta scripta,Squatter Pigeon (southern),Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Columbidae,Geophaps,scripta
971,1154,Poephila cincta cincta,Southern BlackNathroated Finch,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Passeridae,Poephila,cincta
973,1156,Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Procellariidae,Pterodroma,neglecta
977,1160,Diomedea sanfordi,Northern Royal Albatross,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,sanfordi
978,1161,Thalassarche eremita,Chatham Albatross,Endangered,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Aves,Diomedeidae,Thalassarche,eremita
979,1162,Diomedea antipodensis,Antipodean Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,antipodensis
980,1163,Thalassarche impavida,"Campbell Albatross, Campbell BlackNabrowed Albatross",Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Thalassarche,impavida
981,1164,Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Diomedeidae,Thalassarche,bulleri
982,1165,Thalassarche steadi,WhiteNacapped Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Thalassarche,steadi
983,1166,Thalassarche salvini,Salvin's Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Diomedeidae,Thalassarche,salvini
985,1168,Nannoperca oxleyana,Oxleyan Pygmy Perch,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Actinopterygii,Percichthyidae,Nannoperca,oxleyana
986,1169,Carcharodon carcharias,"White Shark, Great White Shark",Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Chondrichthyes,Lamnidae,Carcharodon,carcharias
1003,1190,Microtis angusii,Angus's Onion Orchid,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Microtis,angusii
1008,1195,Pterostylis saxicola,Sydney Plains Greenhood,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,saxicola
1011,1199,Triplarina nowraensis,Nowra HeathNamyrtle,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Triplarina,nowraensis
1012,1200,Wollemia nobilis,Wollemi Pine,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Pinatae,Araucariaceae,Wollemia,nobilis
1013,1202,Zieria lasiocaulis,Willi Willi Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,lasiocaulis
1015,1204,Diuris ochroma,Pale Golden Moths,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Diuris,ochroma
1025,1222,Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,rubida
1031,1234,Parsonsia dorrigoensis,Milky Silkpod,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Apocynaceae,Parsonsia,dorrigoensis
1034,1238,Cyclodomorphus praealtus,Alpine SheNaoak Skink,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Reptilia,Scincidae,Cyclodomorphus,praealtus
1035,1239,Litoria littlejohni,"Littlejohn's Tree Frog,  Heath Frog",Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,littlejohni
1043,1247,Angophora inopina,Charmhaven Apple,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Angophora,inopina
1044,1248,Baeckea kandos,a shrub,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Baeckea,kandos
1067,1272,Eucalyptus canobolensis,"SilverNaleaf Candlebark, Mt Canobolas Candlebark",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,canobolensis
1068,1273,Eucalyptus pachycalyx subsp. banyabba,Banyabba ShinyNabarked Gum,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,pachycalyx
1070,1276,Euphrasia ruptura,subshrub,Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Scrophulariaceae,Euphrasia,ruptura
1074,1281,Grevillea parviflora subsp. parviflora,SmallNaflower Grevillea,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Grevillea,parviflora
1081,1291,Leionema sympetalum,Rylstone Bell,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Leionema,sympetalum
1105,1318,Prostanthera askania,"Tranquillity Mintbush, Tranquility Mintbush",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,askania
1107,1320,Prostanthera junonis,Somersby Mintbush,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,junonis
1108,1321,Pterostylis sp. Botany Bay (A.Bishop J221/1Na13),"Botany Bay Bearded Greenhood, Botany Bay Bearded Orchid",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,sp. Botany Bay (A.Bishop J221/1Na13)
1142,1360,Diomedea dabbenena,Tristan Albatross,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,dabbenena
1143,1361,Thalassarche melanophris,BlackNabrowed Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Thalassarche,melanophris
1144,1362,Thalassarche chrysostoma,GreyNaheaded Albatross,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Thalassarche,chrysostoma
1146,1364,Porphyrio albus,White Gallinule,Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Aves,Rallidae,Porphyrio,albus
1147,1366,Correa lawrenceana var. genoensis,Genoa River Correa,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Rutaceae,Correa,lawrenceana
1149,1368,Macquaria australasica,Macquarie Perch,Endangered,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Actinopterygii,Percichthyidae,Macquaria,australasica
1150,1369,Maccullochella peelii,Murray Cod,Vulnerable,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Actinopterygii,Percichthyidae,Maccullochella,peelii
1152,1371,Potorous tridactylus tridactylus,LongNanosed Potoroo (SE Mainland),Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Mammalia,Potoroidae,Potorous,tridactylus
1153,1372,Petrogale xanthopus xanthopus,YellowNafooted RockNawallaby (SA and NSW),Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Na,Animalia,Mammalia,Macropodidae,Petrogale,xanthopus
1157,1376,Perameles bougainville fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Peramelidae,Perameles,bougainville
1160,1379,Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern RatNakangaroo",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Potoroidae,Bettongia,gaimardi
1161,1380,Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Potoroidae,Bettongia,lesueur
1162,1381,Bettongia penicillata penicillata,"BrushNatailed Bettong (central and southNaeast), BrushNatailed Bettong (southNaeast mainland)",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Potoroidae,Bettongia,penicillata
1163,1382,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Potoroidae,Bettongia,lesueur
1168,1387,Isoodon auratus auratus,Golden Bandicoot (mainland),Vulnerable,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Peramelidae,Isoodon,auratus
1171,1390,Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,verreauxii
1172,1391,Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered,Yes,Yes,Na,Na,Na,Na,Na,Na,Animalia,Amphibia,Myobatrachidae,Pseudophryne,pengilleyi
1177,1396,Rhincodon typus,Whale Shark,Vulnerable,Na,Yes,Yes,Yes,Na,Yes,Yes,Yes,Animalia,Chondrichthyes,Rhincodontidae,Rhincodon,typus
1178,1397,Acacia carneorum,"Needle Wattle, Dead Finish, PurpleNawood Wattle",Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Acacia,carneorum
1179,1398,Callitris oblonga,"Pygmy CypressNapine, Pigmy CypressNapine, Dwarf CypressNapine",Vulnerable,Na,Yes,Na,Na,Na,Yes,Na,Na,Plantae,Pinatae,Cupressaceae,Callitris,oblonga
1184,1403,Hakea dohertyi,a shrub,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Hakea,dohertyi
1185,1405,Prostanthera palustris,Swamp MintNabush,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,palustris
1186,1407,Rytidosperma pumilum,Feldmark Grass,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Poaceae,Rytidosperma,pumilum
1188,1409,Tympanocryptis pinguicolla,Grassland Earless Dragon,Endangered,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Reptilia,Agamidae,Tympanocryptis,pinguicolla
1190,1411,Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Insecta,Phasmatidae,Dryococelus,australis
1196,1417,Placostylus bivaricosus,"Lord Howe Flax Snail, Lord Howe Placostylus",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Bulimulidae,Placostylus,bivaricosus
1197,1418,Thersites mitchellae,Mitchell's Rainforest Snail,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Gastropoda,Camaenidae,Thersites,mitchellae
1205,1426,Bettongia penicillata ogilbyi,Woylie,Endangered,Na,Yes,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Potoroidae,Bettongia,penicillata
1207,1428,Nyctophilus howensis,"Lord Howe LongNaeared Bat, Lord Howe Island Bat",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Vespertilionidae,Nyctophilus,howensis
1219,1440,Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Na,Yes,Na,Yes,Yes,Na,Na,Na,Animalia,Aves,Maluridae,Amytornis,barbatus
1225,1446,Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Aves,Muscicapidae,Rhipidura,fuliginosa
1229,1450,Turdus poliocephalus vinitinctus,"Lord Howe Thrush, VinousNatinted Thrush",Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Aves,Muscicapidae,Turdus,poliocephalus
1230,1451,Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, SmallNaleaved Davidson's Plum",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Cunoniaceae,Davidsonia,johnsonii
1231,1452,Daphnandra johnsonii,Illawarra Socketwood,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Monimiaceae,Daphnandra,johnsonii
1233,1455,Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Persoonia,pauciflora
1234,1456,Vanvoorstia bennettiana,Bennett's Seaweed,Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Rhodophyceae,Delesseriaceae,Vanvoorstia,bennettiana
1235,1457,Davidsonia jerseyana,Davidson's Plum,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Cunoniaceae,Davidsonia,jerseyana
1237,1459,Rutidosis leptorhynchoides,Button Wrinklewort,Endangered,Yes,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Asteraceae,Rutidosis,leptorhynchoides
1242,1464,Selaginella andrewsii,Tallebudgera spikemoss,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Lycopodopiatae,Selaginellaceae,Selaginella,andrewsii
1243,1465,Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (southNaeastern)",Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Mammalia,Peramelidae,Isoodon,obesulus
1247,1471,Genoplesium vernale,East Lynne MidgeNaorchid,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Genoplesium,vernale
1251,1475,Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish",Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Chondrichthyes,Pristidae,Pristis,zijsron
1254,1478,Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Na,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Actinopterygii,Serranidae,Epinephelus,daemelii
1255,1479,Galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark",Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Chondrichthyes,Triakidae,Galeorhinus,galeus
1256,1480,Hoplostethus atlanticus,"Orange Roughy, DeepNasea Perch, Red Roughy",Conservation Dependent,Na,Yes,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Trachichthyidae,Hoplostethus,atlanticus
1257,1481,Prostanthera cryptandroides subsp. cryptandroides,Wollemi MintNabush,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,cryptandroides
1259,1483,Baloskion longipes,Dense CordNarush,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Liliopsida,Restionaceae,Baloskion,longipes
1266,1491,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically Endangered,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Chondrichthyes,Carcharhinidae,Carcharias,taurus
1270,1495,Seriolella brama,Blue Warehou,Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Actinopterygii,Centrolophidae,Seriolella,brama
1271,1496,Thunnus maccoyii,Southern Bluefin Tuna,Conservation Dependent,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Actinopterygii,Scombridae,Thunnus,maccoyii
1273,1498,Dasyurus maculatus maculatus (SE mainland population),"SpotNatailed Quoll, SpottedNatail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Dasyuridae,Dasyurus,maculatus
1276,1503,Bidyanus bidyanus,"Silver Perch, Bidyan",Critically Endangered,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Actinopterygii,Terapontidae,Bidyanus,bidyanus
1280,1509,Xerochrysum palustre,"Swamp Everlasting, Swamp Paper Daisy",Vulnerable,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Plantae,Magnoliopsida,Asteraceae,Xerochrysum,palustre
1281,1510,Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation Dependent,Na,Yes,Na,Yes,Na,Yes,Na,Na,Animalia,Actinopterygii,Gempylidae,Rexea,solandri (eastern Australian population)
1282,1511,Eidothea hardeniana,Nightcap Oak,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Eidothea,hardeniana
1287,1516,Rostratula australis,Australian Painted Snipe,Endangered,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Animalia,Aves,Rostratulidae,Rostratula,australis
1293,1522,Pomaderris reperta,Denman Pomaderris,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rhamnaceae,Pomaderris,reperta
1310,1542,Gossia fragrantissima,"Sweet Myrtle, SmallNaleaved Myrtle",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Gossia,fragrantissima
